Day,Start Time,Duration,Weeks,Module,Type,Activity Code,Activity Name,Room,Staff
Monday,12:30,1 hour,"22-30, 35, 37",CSC1024/L03/01,Lecture,CSC1024/L03/01,Computer Architecture,USB.1.006,Warrender JD Dr & Esmaeil Zadeh Soudjani S Dr
Monday,13:30,2 hours,"22-30, 35, 37",CSC1024/P02/01,Practical,CSC1024/P02/01,Computer Architecture,USB.3.005 (A),Warrender JD Dr & Esmaeil Zadeh Soudjani S Dr
Monday,13:30,2 hours,"22-30, 35, 37",CSC1024/P02/02,Practical,CSC1024/P02/02,Computer Architecture,USB.3.015 (B),Warrender JD Dr & Esmaeil Zadeh Soudjani S Dr
Monday,13:30,2 hours,"22-30, 35, 37",CSC1024/P02/03,Practical,CSC1024/P02/03,Computer Architecture,USB.3.018 (C),Warrender JD Dr & Esmaeil Zadeh Soudjani S Dr
Monday,13:30,2 hours,"11-15, 19","CSC1021/P01/03 <11-15, 19>",Practical,"CSC1021/P01/03 <11-15, 19>",Programming I,USB.3.018 (C),Warrender JD Dr & Heels LE Miss & Speirs NA Dr & Lord P Dr
Monday,10:30,1 hour,"6, 8, 12, 14",CSC1023/T01/01,Practical,CSC1023/T01/01,The Software Engineering Professional,USB.Social Learning,Goni-Moreno A Dr & Kharrufa ANS Dr & McGough AS Dr & Dong C Dr & Morisset C Dr & Nesbitt DJ Dr & Solaiman EM Dr & Morgan G Dr & Ushaw G Dr & Fellermann HMA Dr & Bacardit J Dr & Colquhoun J Dr & Pierce KG Dr & Montague K Dr & Steggles LJ Dr & Freitas LJS Dr & Devlin M Dr & Koutny M Dr & Speirs NA Dr & Thomas NA Dr & Ezhilchelvan PD Dr & Lord P Dr & Missier P Dr & Taylor PN Dr & Zuliani P Dr & Ranjan R Professor & Fernstad SE Dr & Riddle S Dr & Bartindale TL Dr & Khomenko VV Dr & Blewitt WF Dr & Guan Y Dr
Monday,10:30,1 hour,25,CSC1023/T02/01,Practical,CSC1023/T02/01,The Software Engineering Professional,USB.Social Learning,Goni-Moreno A Dr & Kharrufa ANS Dr & McGough AS Dr & Dong C Dr & Morisset C Dr & Nesbitt DJ Dr & Solaiman EM Dr & Morgan G Dr & Ushaw G Dr & Fellermann HMA Dr & Bacardit J Dr & Colquhoun J Dr & Pierce KG Dr & Montague K Dr & Steggles LJ Dr & Freitas LJS Dr & Devlin M Dr & Koutny M Dr & Speirs NA Dr & Thomas NA Dr & Ezhilchelvan PD Dr & Lord P Dr & Missier P Dr & Taylor PN Dr & Zuliani P Dr & Ranjan R Professor & Fernstad SE Dr & Riddle S Dr & Bartindale TL Dr & Khomenko VV Dr & Guan Y Dr
Monday,13:30,2 hours,19,CSC1021/P01/02 <19>,Practical,CSC1021/P01/02 <19>,Programming I,USB.3.015 (B),Warrender JD Dr & Heels LE Miss & Speirs NA Dr & Lord P Dr
Monday,13:30,2 hours,Nov-15,CSC1021/P01/02 <11-15>,Practical,CSC1021/P01/02 <11-15>,Programming I,USB.3.015 (B),Warrender JD Dr & Heels LE Miss & Lord P Dr
Monday,13:30,2 hours,05-Oct,CSC1021/P01/02 <5-10>,Practical,CSC1021/P01/02 <5-10>,Programming I,USB.3.015 (B),Warrender JD Dr & Heels LE Miss & Speirs NA Dr
